Std;E
150.9305383494847;-97.61976197619762
150.89986299286267;-97.5997599759976
150.86918763629978;-97.57975797579758
150.83851227979542;-97.55975597559755
150.8078369233492;-97.53975397539755
150.7771615669608;-97.51975197519752
150.74648621063142;-97.4997499749975
150.71581085436023;-97.47974797479748
150.68513549814747;-97.45974597459745
150.65446014199387;-97.43974397439744
150.6237847858988;-97.41974197419742
150.5931094298618;-97.3997399739974
150.56243407388337;-97.37973797379738
150.53175871796407;-97.35973597359737
150.50108336210343;-97.33973397339734
150.47040800630123;-97.31973197319732
150.43973265055806;-97.2997299729973
150.40905729487378;-97.27972797279728
150.37838193924827;-97.25972597259727
150.34770658368168;-97.23972397239724
150.31703122817356;-97.21972197219722
150.28635587272538;-97.1997199719972
150.25568051733558;-97.17971797179717
150.22500516200458;-97.15971597159717
150.19432980673284;-97.13971397139714
150.16365445152059;-97.11971197119712
150.13297909636714;-97.0997099709971
150.1023037412731;-97.07970797079707
150.07162838623813;-97.05970597059707
150.04095303126195;-97.03970397039704
150.01027767634585;-97.01970197019702
149.97960232148856;-96.999699969997
149.948926966691;-96.97969796979697
149.9182516119523;-96.95969596959696
149.88757625727374;-96.93969396939694
149.85690090265396;-96.91969196919692
149.82622554809413;-96.8996899689969
149.79555019359384;-96.87968796879687
149.76487483915307;-96.85968596859686
149.73419948477218;-96.83968396839684
149.70352413045075;-96.81968196819682
149.67284877618883;-96.7996799679968
149.64217342198685;-96.77967796779679
149.61149806784445;-96.75967596759676
149.58082271376182;-96.73967396739674
149.55014735973947;-96.71967196719672
149.51947200577692;-96.6996699669967
149.4887966518739;-96.67966796679669
149.45812129803105;-96.65966596659666
149.42744594424784;-96.63966396639664
149.39677059052528;-96.61966196619662
149.36609523686226;-96.5996599659966
149.33541988326002;-96.57965796579659
149.30474452971725;-96.55965596559656
149.27406917623472;-96.53965396539654
149.24339382281283;-96.51965196519652
149.21271846945106;-96.4996499649965
149.18204311614952;-96.47964796479648
149.15136776290782;-96.45964596459646
149.1206924097269;-96.43964396439644
149.09001705660597;-96.41964196419642
149.0593417035459;-96.3996399639964
149.0286663505467;-96.37963796379638
148.9979909976076;-96.35963596359636
148.96731564472864;-96.33963396339634
148.93664029191095;-96.31963196319631
148.90596493915345;-96.2996299629963
148.87528958645635;-96.27962796279628
148.84461423382092;-96.25962596259626
148.8139388812455;-96.23962396239624
148.78326352873128;-96.21962196219621
148.75258817627736;-96.1996199619962
148.72191282388445;-96.17961796179618
148.69123747155263;-96.15961596159616
148.6605621192816;-96.13961396139614
148.62988676707167;-96.11961196119611
148.59921141492217;-96.0996099609961
148.56853606283394;-96.07960796079608
148.53786071080705;-96.05960596059606
148.5071853588416;-96.03960396039604
148.47651000693725;-96.01960196019601
148.44583465509302;-95.999599959996
148.4151593033111;-95.97959795979598
148.3844839515896;-95.95959595959596
148.35380859992998;-95.93959395939594
148.3231332483318;-95.91959195919591
148.29245789679513;-95.8995899589959
148.26178254531894;-95.87958795879588
148.23110719390496;-95.85958595859586
148.20043184255212;-95.83958395839583
148.16975649126152;-95.81958195819581
148.13908114003218;-95.7995799579958
148.10840578886368;-95.77957795779578
148.07773043775794;-95.75957595759576
148.04705508671273;-95.73957395739573
148.01637973573014;-95.71957195719573
147.9857043848086;-95.6995699569957
147.9550290339497;-95.67956795679568
147.9243536831523;-95.65956595659566
147.89367833241673;-95.63956395639563
147.86300298174282;-95.61956195619562
147.8323276311312;-95.5995599559956
147.80165228058164;-95.57955795579558
147.77097693009398;-95.55955595559556
147.74030157966843;-95.53955395539553
147.70962622930418;-95.51955195519552
147.6789508790031;-95.4995499549955
147.64827552876406;-95.47954795479548
147.61760017858686;-95.45954595459546
147.5869248284722;-95.43954395439545
147.55624947841991;-95.41954195419542
147.5255741284296;-95.3995399539954
147.49489877850175;-95.37953795379538
147.46422342863656;-95.35953595359535
147.43354807883415;-95.33953395339535
147.40287272909362;-95.31953195319532
147.37219737941552;-95.2995299529953
147.34152202980053;-95.27952795279528
147.3108466802479;-95.25952595259525
147.28017133075784;-95.23952395239525
147.2494959813306;-95.21952195219522
147.21882063196628;-95.1995199519952
147.18814528266452;-95.17951795179518
147.1574699334251;-95.15951595159515
147.1267945842494;-95.13951395139514
147.09611923513575;-95.11951195119512
147.06544388608586;-95.0995099509951
147.03476853709853;-95.07950795079508
147.00409318817404;-95.05950595059505
146.9734178393129;-95.03950395039504
146.94274249051458;-95.01950195019502
146.91206714177954;-94.999499949995
146.88139179310772;-94.97949794979498
146.85071644449917;-94.95949594959495
146.82004109595377;-94.93949394939494
146.78936574747144;-94.91949194919492
146.7586903990526;-94.8994899489949
146.72801505069728;-94.87948794879487
146.69733970240503;-94.85948594859485
146.66666435417628;-94.83948394839484
146.63598900601116;-94.81948194819482
146.6053136579095;-94.7994799479948
146.574638309871;-94.77947794779477
146.5439629618969;-94.75947594759477
146.5132876139861;-94.73947394739474
146.48261226613877;-94.71947194719472
146.45193691835487;-94.6994699469947
146.42126157063558;-94.67946794679467
146.39058622297958;-94.65946594659466
146.35991087538756;-94.63946394639464
146.32923552785974;-94.61946194619462
146.29856018039538;-94.5994599459946
146.26788483299546;-94.57945794579457
146.23720948565827;-94.55945594559456
